-0.08	-0.05	0.00	0.00	0.00	1.00	1.00	0.00
-0.08	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.08	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.08	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.08	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.08	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.08	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.08	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.08	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.08	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.08	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.08	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.08	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.08	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.08	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.08	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.08	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.08	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.08	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.08	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.08	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.08	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.08	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.08	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.09	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.09	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.09	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.09	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.09	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.09	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.09	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.09	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.09	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.09	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.09	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.09	-0.05	0.00	0.00	0.03	1.00	0.67	0.00
-0.09	-0.06	0.00	0.00	0.03	1.00	0.67	0.00
-0.09	-0.06	0.00	0.00	0.03	1.00	0.67	0.00
